country,county,city,wind_speed,wind_direction,timestamp
Germany,Hamburg,Hamburg,21.96,263,2025-10-01 13:00:00
Germany,Hamburg,Hamburg,19.23,92,2025-10-01 14:00:00
Germany,Hamburg,Hamburg,21.37,32,2025-10-01 15:00:00
Germany,Hamburg,Hamburg,24.87,299,2025-10-01 16:00:00
Germany,Hamburg,Hamburg,18.21,273,2025-10-01 17:00:00
Germany,Hamburg,Hamburg,18.58,76,2025-10-01 18:00:00
Germany,Hamburg,Hamburg,15.13,113,2025-10-01 19:00:00
Germany,Hamburg,Hamburg,24.28,158,2025-10-01 20:00:00
Germany,Hamburg,Hamburg,17.1,126,2025-10-01 21:00:00
Germany,Hamburg,Hamburg,19.37,103,2025-10-01 22:00:00
Germany,Hamburg,Hamburg,15.82,319,2025-10-01 23:00:00
Germany,Bavaria,Munich,11.77,227,2025-09-27 00:00:00
Germany,Bavaria,Munich,12.78,80,2025-10-01 01:00:00
Germany,Bavaria,Munich,13.86,174,2025-10-01 02:00:00
Germany,Bavaria,Munich,12.71,143,2025-10-01 03:00:00
Germany,Bavaria,Munich,13.19,246,2025-10-01 04:00:00
Germany,Bavaria,Munich,11.82,147,2025-10-01 05:00:00
Germany,Bavaria,Munich,14.71,157,2025-10-01 06:00:00
Germany,Bavaria,Munich,17.5,264,2025-10-01 07:00:00
Germany,Bavaria,Munich,17.2,272,2025-10-01 08:00:00
Germany,Bavaria,Munich,8.61,270,2025-10-01 09:00:00
Germany,Bavaria,Munich,9.3,106,2025-10-01 10:00:00
Germany,Bavaria,Munich,11.67,53,2025-10-01 11:00:00
Germany,Bavaria,Munich,13.63,332,2025-10-01 12:00:00
Germany,Bavaria,Munich,17.02,268,2025-10-01 13:00:00
Germany,Bavaria,Munich,12.27,196,2025-10-01 14:00:00
Germany,Bavaria,Munich,16.95,253,2025-10-01 15:00:00
Germany,Bavaria,Munich,13.45,101,2025-10-01 16:00:00
Germany,Bavaria,Munich,8.33,188,2025-10-01 17:00:00
Germany,Bavaria,Munich,12.92,210,2025-10-01 18:00:00
Germany,Bavaria,Munich,10.52,92,2025-10-01 19:00:00
Germany,Bavaria,Munich,17.54,197,2025-10-01 20:00:00
Germany,Bavaria,Munich,14.35,74,2025-10-01 21:00:00
Germany,Bavaria,Munich,8.22,344,2025-10-01 22:00:00
Germany,Bavaria,Munich,10.26,213,2025-10-01 23:00:00
Germany,North Rhine-Westphalia,Cologne,12.44,339,2025-09-27 00:00:00
Germany,North Rhine-Westphalia,Cologne,20.26,117,2025-10-01 01:00:00
Germany,North Rhine-Westphalia,Cologne,21.17,240,2025-10-01 02:00:00
Germany,North Rhine-Westphalia,Cologne,21.5,43,2025-10-01 03:00:00
Germany,North Rhine-Westphalia,Cologne,17.92,139,2025-10-01 04:00:00
Germany,North Rhine-Westphalia,Cologne,20.99,234,2025-10-01 05:00:00
Germany,North Rhine-Westphalia,Cologne,13.52,249,2025-10-01 06:00:00
Germany,North Rhine-Westphalia,Cologne,15.77,343,2025-10-01 07:00:00
Germany,North Rhine-Westphalia,Cologne,21.72,53,2025-10-01 08:00:00
Germany,North Rhine-Westphalia,Cologne,17.99,321,2025-10-01 09:00:00
Germany,North Rhine-Westphalia,Cologne,18.55,202,2025-10-01 10:00:00
Germany,North Rhine-Westphalia,Cologne,12.83,10,2025-10-01 11:00:00
Germany,North Rhine-Westphalia,Cologne,20.27,168,2025-10-01 12:00:00
Germany,North Rhine-Westphalia,Cologne,14.06,350,2025-10-01 13:00:00
Germany,North Rhine-Westphalia,Cologne,19.08,149,2025-10-01 14:00:00
Germany,North Rhine-Westphalia,Cologne,16.84,253,2025-10-01 15:00:00
Germany,North Rhine-Westphalia,Cologne,16.41,37,2025-10-01 16:00:00
Germany,North Rhine-Westphalia,Cologne,14.96,81,2025-10-01 17:00:00
Germany,North Rhine-Westphalia,Cologne,17.08,220,2025-10-01 18:00:00
Germany,North Rhine-Westphalia,Cologne,19.77,278,2025-10-01 19:00:00
Germany,North Rhine-Westphalia,Cologne,17.47,329,2025-10-01 20:00:00
Germany,North Rhine-Westphalia,Cologne,20.12,220,2025-10-01 21:00:00
Germany,North Rhine-Westphalia,Cologne,19.78,195,2025-10-01 22:00:00
Germany,North Rhine-Westphalia,Cologne,21.9,107,2025-10-01 23:00:00
Germany,Hesse,Frankfurt,18.97,96,2025-09-27 00:00:00
Germany,Hesse,Frankfurt,12.0,92,2025-10-01 01:00:00
Germany,Hesse,Frankfurt,11.12,235,2025-10-01 02:00:00
Germany,Hesse,Frankfurt,14.61,323,2025-10-01 03:00:00
Germany,Hesse,Frankfurt,19.09,280,2025-10-01 04:00:00
Germany,Hesse,Frankfurt,19.34,214,2025-10-01 05:00:00
Germany,Hesse,Frankfurt,19.27,48,2025-10-01 06:00:00
Germany,Hesse,Frankfurt,19.46,30,2025-10-01 07:00:00
Germany,Hesse,Frankfurt,11.37,186,2025-10-01 08:00:00
Germany,Hesse,Frankfurt,12.71,69,2025-10-01 09:00:00
Germany,Hesse,Frankfurt,16.01,271,2025-10-01 10:00:00
Germany,Hesse,Frankfurt,13.61,207,2025-10-01 11:00:00
Germany,Hesse,Frankfurt,15.49,266,2025-10-01 12:00:00
Germany,Hesse,Frankfurt,14.37,123,2025-10-01 13:00:00
Germany,Hesse,Frankfurt,18.34,29,2025-10-01 14:00:00
Germany,Hesse,Frankfurt,14.64,166,2025-10-01 15:00:00
Germany,Hesse,Frankfurt,19.25,172,2025-10-01 16:00:00
Germany,Hesse,Frankfurt,16.48,280,2025-10-01 17:00:00
Germany,Hesse,Frankfurt,19.07,131,2025-10-01 18:00:00
Germany,Hesse,Frankfurt,11.08,201,2025-10-01 19:00:00
Germany,Hesse,Frankfurt,13.38,56,2025-10-01 20:00:00
Germany,Hesse,Frankfurt,10.22,328,2025-10-01 21:00:00
Germany,Hesse,Frankfurt,14.93,198,2025-10-01 22:00:00
Germany,Hesse,Frankfurt,10.57,173,2025-10-01 23:00:00
Germany,Baden-Württemberg,Stuttgart,12.75,332,2025-09-27 00:00:00
Germany,Baden-Württemberg,Stuttgart,17.48,176,2025-10-01 01:00:00
Germany,Baden-Württemberg,Stuttgart,13.12,194,2025-10-01 02:00:00
Germany,Baden-Württemberg,Stuttgart,12.06,151,2025-10-01 03:00:00
Germany,Baden-Württemberg,Stuttgart,15.74,60,2025-10-01 04:00:00
Germany,Baden-Württemberg,Stuttgart,14.83,126,2025-10-01 05:00:00
Germany,Baden-Württemberg,Stuttgart,8.41,316,2025-10-01 06:00:00
Germany,Baden-Württemberg,Stuttgart,12.2,233,2025-10-01 07:00:00
Germany,Baden-Württemberg,Stuttgart,11.84,359,2025-10-01 08:00:00
Germany,Baden-Württemberg,Stuttgart,8.73,126,2025-10-01 09:00:00
Germany,Baden-Württemberg,Stuttgart,17.74,297,2025-10-01 10:00:00
Germany,Baden-Württemberg,Stuttgart,15.21,320,2025-10-01 11:00:00
Germany,Baden-Württemberg,Stuttgart,15.73,207,2025-10-01 12:00:00
Germany,Baden-Württemberg,Stuttgart,12.57,231,2025-10-01 13:00:00
Germany,Baden-Württemberg,Stuttgart,9.42,258,2025-10-01 14:00:00
Germany,Baden-Württemberg,Stuttgart,10.48,336,2025-10-01 15:00:00
Germany,Baden-Württemberg,Stuttgart,15.62,117,2025-10-01 16:00:00
Germany,Baden-Württemberg,Stuttgart,10.06,199,2025-10-01 17:00:00
Germany,Baden-Württemberg,Stuttgart,16.75,336,2025-10-01 18:00:00
Germany,Baden-Württemberg,Stuttgart,10.32,17,2025-10-01 19:00:00
Germany,Baden-Württemberg,Stuttgart,15.34,276,2025-10-01 20:00:00
Germany,Baden-Württemberg,Stuttgart,16.08,84,2025-10-01 21:00:00
Germany,Baden-Württemberg,Stuttgart,15.48,123,2025-10-01 22:00:00
Germany,Baden-Württemberg,Stuttgart,17.53,92,2025-10-01 23:00:00
Germany,North Rhine-Westphalia,Düsseldorf,13.89,187,2025-09-27 00:00:00
Germany,North Rhine-Westphalia,Düsseldorf,14.59,74,2025-10-01 01:00:00
Germany,North Rhine-Westphalia,Düsseldorf,15.37,234,2025-10-01 02:00:00
Germany,North Rhine-Westphalia,Düsseldorf,16.07,313,2025-10-01 03:00:00
Germany,North Rhine-Westphalia,Düsseldorf,15.22,199,2025-10-01 04:00:00
Germany,North Rhine-Westphalia,Düsseldorf,14.51,285,2025-10-01 05:00:00
Germany,North Rhine-Westphalia,Düsseldorf,16.63,333,2025-10-01 06:00:00
Germany,North Rhine-Westphalia,Düsseldorf,12.86,55,2025-10-01 07:00:00
Germany,North Rhine-Westphalia,Düsseldorf,13.88,194,2025-10-01 08:00:00
Germany,North Rhine-Westphalia,Düsseldorf,12.84,85,2025-10-01 09:00:00
Germany,North Rhine-Westphalia,Düsseldorf,20.41,62,2025-10-01 10:00:00
Germany,North Rhine-Westphalia,Düsseldorf,16.71,288,2025-10-01 11:00:00
Germany,North Rhine-Westphalia,Düsseldorf,20.8,226,2025-10-01 12:00:00
Germany,North Rhine-Westphalia,Düsseldorf,14.79,346,2025-10-01 13:00:00
Germany,North Rhine-Westphalia,Düsseldorf,22.0,265,2025-10-01 14:00:00
Germany,North Rhine-Westphalia,Düsseldorf,16.07,213,2025-10-01 15:00:00
Germany,North Rhine-Westphalia,Düsseldorf,19.36,85,2025-10-01 16:00:00
Germany,North Rhine-Westphalia,Düsseldorf,16.73,249,2025-10-01 17:00:00
Germany,North Rhine-Westphalia,Düsseldorf,14.8,191,2025-10-01 18:00:00
Germany,North Rhine-Westphalia,Düsseldorf,20.28,80,2025-10-01 19:00:00
Germany,North Rhine-Westphalia,Düsseldorf,18.31,20,2025-10-01 20:00:00
Germany,North Rhine-Westphalia,Düsseldorf,18.74,340,2025-10-01 21:00:00
Germany,North Rhine-Westphalia,Düsseldorf,19.38,94,2025-10-01 22:00:00
Germany,North Rhine-Westphalia,Düsseldorf,17.56,341,2025-10-01 23:00:00
Germany,North Rhine-Westphalia,Dortmund,12.03,146,2025-09-27 00:00:00
Germany,North Rhine-Westphalia,Dortmund,18.64,279,2025-10-01 01:00:00
Germany,North Rhine-Westphalia,Dortmund,13.66,164,2025-10-01 02:00:00
Germany,North Rhine-Westphalia,Dortmund,13.43,10,2025-10-01 03:00:00
Germany,North Rhine-Westphalia,Dortmund,17.94,85,2025-10-01 04:00:00
Germany,North Rhine-Westphalia,Dortmund,14.3,309,2025-10-01 05:00:00
Germany,North Rhine-Westphalia,Dortmund,15.97,329,2025-10-01 06:00:00
Germany,North Rhine-Westphalia,Dortmund,17.84,279,2025-10-01 07:00:00
Germany,North Rhine-Westphalia,Dortmund,14.19,341,2025-10-01 08:00:00
Germany,North Rhine-Westphalia,Dortmund,12.53,266,2025-10-01 09:00:00
Germany,North Rhine-Westphalia,Dortmund,15.03,301,2025-10-01 10:00:00
Germany,North Rhine-Westphalia,Dortmund,14.53,160,2025-10-01 11:00:00
Germany,North Rhine-Westphalia,Dortmund,17.89,249,2025-10-01 12:00:00
Germany,North Rhine-Westphalia,Dortmund,18.59,135,2025-10-01 13:00:00
Germany,North Rhine-Westphalia,Dortmund,17.23,180,2025-10-01 14:00:00
Germany,North Rhine-Westphalia,Dortmund,10.17,205,2025-10-01 15:00:00
Germany,North Rhine-Westphalia,Dortmund,16.43,184,2025-10-01 16:00:00
Germany,North Rhine-Westphalia,Dortmund,14.15,40,2025-10-01 17:00:00
Germany,North Rhine-Westphalia,Dortmund,15.43,116,2025-10-01 18:00:00
Germany,North Rhine-Westphalia,Dortmund,10.9,124,2025-10-01 19:00:00
Germany,North Rhine-Westphalia,Dortmund,15.92,28,2025-10-01 20:00:00
Germany,North Rhine-Westphalia,Dortmund,18.6,272,2025-10-01 21:00:00
Germany,North Rhine-Westphalia,Dortmund,19.74,187,2025-10-01 22:00:00
Germany,North Rhine-Westphalia,Dortmund,15.22,201,2025-10-01 23:00:00
Germany,Saxony,Leipzig,12.76,7,2025-09-27 00:00:00
Germany,Saxony,Leipzig,19.35,315,2025-10-01 01:00:00
Germany,Saxony,Leipzig,18.62,166,2025-10-01 02:00:00
Germany,Saxony,Leipzig,15.68,207,2025-10-01 03:00:00
Germany,Saxony,Leipzig,10.74,257,2025-10-01 04:00:00
Germany,Saxony,Leipzig,15.51,22,2025-10-01 05:00:00
Germany,Saxony,Leipzig,19.89,27,2025-10-01 06:00:00
Germany,Saxony,Leipzig,15.29,13,2025-10-01 07:00:00
Germany,Saxony,Leipzig,17.31,153,2025-10-01 08:00:00
Germany,Saxony,Leipzig,13.91,85,2025-10-01 09:00:00
Germany,Saxony,Leipzig,10.96,113,2025-10-01 10:00:00
Germany,Saxony,Leipzig,19.03,242,2025-10-01 11:00:00
Germany,Saxony,Leipzig,13.11,283,2025-10-01 12:00:00
Germany,Saxony,Leipzig,15.02,29,2025-10-01 13:00:00
Germany,Saxony,Leipzig,17.36,95,2025-10-01 14:00:00
Germany,Saxony,Leipzig,17.44,5,2025-10-01 15:00:00
Germany,Saxony,Leipzig,11.89,54,2025-10-01 16:00:00
Germany,Saxony,Leipzig,10.93,252,2025-10-01 17:00:00
Germany,Saxony,Leipzig,16.8,23,2025-10-01 18:00:00
Germany,Saxony,Leipzig,12.04,308,2025-10-01 19:00:00
Germany,Saxony,Leipzig,18.17,162,2025-10-01 20:00:00
Germany,Saxony,Leipzig,15.48,209,2025-10-01 21:00:00
Germany,Saxony,Leipzig,19.13,257,2025-10-01 22:00:00
Germany,Saxony,Leipzig,15.93,35,2025-10-01 23:00:00
Germany,Bremen,Bremen,19.55,242,2025-09-27 00:00:00
Germany,Bremen,Bremen,24.29,44,2025-10-01 01:00:00
Germany,Bremen,Bremen,24.23,328,2025-10-01 02:00:00
Germany,Bremen,Bremen,15.11,161,2025-10-01 03:00:00
Germany,Bremen,Bremen,23.35,147,2025-10-01 04:00:00
Germany,Bremen,Bremen,22.34,84,2025-10-01 05:00:00
Germany,Bremen,Bremen,22.55,60,2025-10-01 06:00:00
Germany,Bremen,Bremen,22.29,327,2025-10-01 07:00:00
Germany,Bremen,Bremen,21.55,56,2025-10-01 08:00:00
Germany,Bremen,Bremen,22.91,272,2025-10-01 09:00:00
Germany,Bremen,Bremen,17.69,229,2025-10-01 10:00:00
Germany,Bremen,Bremen,15.95,163,2025-10-01 11:00:00
Germany,Bremen,Bremen,23.1,179,2025-10-01 12:00:00
Germany,Bremen,Bremen,21.73,307,2025-10-01 13:00:00
Germany,Bremen,Bremen,17.14,151,2025-10-01 14:00:00
Germany,Bremen,Bremen,22.83,218,2025-10-01 15:00:00
Germany,Bremen,Bremen,22.43,10,2025-10-01 16:00:00
Germany,Bremen,Bremen,22.94,54,2025-10-01 17:00:00
Germany,Bremen,Bremen,22.56,204,2025-10-01 18:00:00
Germany,Bremen,Bremen,15.65,207,2025-10-01 19:00:00
Germany,Bremen,Bremen,24.4,210,2025-10-01 20:00:00
Germany,Bremen,Bremen,15.86,73,2025-10-01 21:00:00
Germany,Bremen,Bremen,24.09,347,2025-10-01 22:00:00
Germany,Bremen,Bremen,23.27,88,2025-10-01 23:00:00
France,Île-de-France,Paris,10.3,302,2025-09-27 00:00:00
France,Île-de-France,Paris,11.14,135,2025-10-01 01:00:00
France,Île-de-France,Paris,17.39,136,2025-10-01 02:00:00
France,Île-de-France,Paris,10.75,318,2025-10-01 03:00:00
France,Île-de-France,Paris,15.56,133,2025-10-01 04:00:00
France,Île-de-France,Paris,18.96,279,2025-10-01 05:00:00
France,Île-de-France,Paris,19.09,197,2025-10-01 06:00:00
France,Île-de-France,Paris,14.12,47,2025-10-01 07:00:00
France,Île-de-France,Paris,12.45,322,2025-10-01 08:00:00
France,Île-de-France,Paris,10.79,34,2025-10-01 09:00:00
France,Île-de-France,Paris,11.68,179,2025-10-01 10:00:00
France,Île-de-France,Paris,16.45,95,2025-10-01 11:00:00
France,Île-de-France,Paris,15.28,175,2025-10-01 12:00:00
France,Île-de-France,Paris,12.06,115,2025-10-01 13:00:00
France,Île-de-France,Paris,14.43,178,2025-10-01 14:00:00
France,Île-de-France,Paris,15.15,126,2025-10-01 15:00:00
France,Île-de-France,Paris,13.53,172,2025-10-01 16:00:00
France,Île-de-France,Paris,16.27,175,2025-10-01 17:00:00
France,Île-de-France,Paris,15.75,18,2025-10-01 18:00:00
France,Île-de-France,Paris,13.6,130,2025-10-01 19:00:00
France,Île-de-France,Paris,13.21,214,2025-10-01 20:00:00
France,Île-de-France,Paris,17.07,86,2025-10-01 21:00:00
France,Île-de-France,Paris,10.47,327,2025-10-01 22:00:00
France,Île-de-France,Paris,12.75,191,2025-10-01 23:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,24.65,288,2025-09-27 00:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,25.27,337,2025-10-01 01:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,26.23,70,2025-10-01 02:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,20.68,320,2025-10-01 03:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,22.67,62,2025-10-01 04:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,21.37,360,2025-10-01 05:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,17.97,131,2025-10-01 06:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,25.16,114,2025-10-01 07:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,26.72,3,2025-10-01 08:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,25.92,332,2025-10-01 09:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,16.42,228,2025-10-01 10:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,22.68,300,2025-10-01 11:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,25.66,99,2025-10-01 12:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,29.11,299,2025-10-01 13:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,24.08,99,2025-10-01 14:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,17.48,238,2025-10-01 15:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,20.85,78,2025-10-01 16:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,26.14,141,2025-10-01 17:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,20.0,210,2025-10-01 18:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,25.24,267,2025-10-01 19:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,29.27,209,2025-10-01 20:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,22.25,226,2025-10-01 21:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,26.75,227,2025-10-01 22:00:00
France,Provence-Alpes-Côte d'Azur,Marseille,29.03,289,2025-10-01 23:00:00
France,Auvergne-Rhône-Alpes,Lyon,17.83,288,2025-09-27 00:00:00
France,Auvergne-Rhône-Alpes,Lyon,12.23,212,2025-10-01 01:00:00
France,Auvergne-Rhône-Alpes,Lyon,13.34,18,2025-10-01 02:00:00
France,Auvergne-Rhône-Alpes,Lyon,12.4,184,2025-10-01 03:00:00
France,Auvergne-Rhône-Alpes,Lyon,15.2,140,2025-10-01 04:00:00
France,Auvergne-Rhône-Alpes,Lyon,13.07,257,2025-10-01 05:00:00
France,Auvergne-Rhône-Alpes,Lyon,19.48,135,2025-10-01 06:00:00
France,Auvergne-Rhône-Alpes,Lyon,14.94,18,2025-10-01 07:00:00
France,Auvergne-Rhône-Alpes,Lyon,18.64,104,2025-10-01 08:00:00
France,Auvergne-Rhône-Alpes,Lyon,14.41,357,2025-10-01 09:00:00
France,Auvergne-Rhône-Alpes,Lyon,15.93,158,2025-10-01 10:00:00
France,Auvergne-Rhône-Alpes,Lyon,19.4,82,2025-10-01 11:00:00
France,Auvergne-Rhône-Alpes,Lyon,16.48,266,2025-10-01 12:00:00
France,Auvergne-Rhône-Alpes,Lyon,12.64,248,2025-10-01 13:00:00
France,Auvergne-Rhône-Alpes,Lyon,14.38,228,2025-10-01 14:00:00
France,Auvergne-Rhône-Alpes,Lyon,14.02,255,2025-10-01 15:00:00
France,Auvergne-Rhône-Alpes,Lyon,13.84,195,2025-10-01 16:00:00
France,Auvergne-Rhône-Alpes,Lyon,13.32,192,2025-10-01 17:00:00
France,Auvergne-Rhône-Alpes,Lyon,14.35,320,2025-10-01 18:00:00
France,Auvergne-Rhône-Alpes,Lyon,14.61,239,2025-10-01 19:00:00
France,Auvergne-Rhône-Alpes,Lyon,12.98,100,2025-10-01 20:00:00
France,Auvergne-Rhône-Alpes,Lyon,17.06,37,2025-10-01 21:00:00
France,Auvergne-Rhône-Alpes,Lyon,21.95,0,2025-10-01 22:00:00
France,Auvergne-Rhône-Alpes,Lyon,17.46,10,2025-10-01 23:00:00
France,Occitanie,Toulouse,20.34,157,2025-09-27 00:00:00
France,Occitanie,Toulouse,20.36,188,2025-10-01 01:00:00
France,Occitanie,Toulouse,12.32,85,2025-10-01 02:00:00
France,Occitanie,Toulouse,16.94,97,2025-10-01 03:00:00
France,Occitanie,Toulouse,17.55,147,2025-10-01 04:00:00
France,Occitanie,Toulouse,15.77,106,2025-10-01 05:00:00
France,Occitanie,Toulouse,15.75,196,2025-10-01 06:00:00
France,Occitanie,Toulouse,21.86,195,2025-10-01 07:00:00
France,Occitanie,Toulouse,15.5,343,2025-10-01 08:00:00
France,Occitanie,Toulouse,22.52,288,2025-10-01 09:00:00
France,Occitanie,Toulouse,18.43,115,2025-10-01 10:00:00
France,Occitanie,Toulouse,21.99,338,2025-10-01 11:00:00
France,Occitanie,Toulouse,16.77,71,2025-10-01 12:00:00
France,Occitanie,Toulouse,14.53,292,2025-10-01 13:00:00
France,Occitanie,Toulouse,23.86,32,2025-10-01 14:00:00
France,Occitanie,Toulouse,20.43,305,2025-10-01 15:00:00
France,Occitanie,Toulouse,18.09,319,2025-10-01 16:00:00
France,Occitanie,Toulouse,15.0,221,2025-10-01 17:00:00
France,Occitanie,Toulouse,20.2,73,2025-10-01 18:00:00
France,Occitanie,Toulouse,19.04,39,2025-10-01 19:00:00
France,Occitanie,Toulouse,23.22,47,2025-10-01 20:00:00
France,Occitanie,Toulouse,19.08,204,2025-10-01 21:00:00
France,Occitanie,Toulouse,15.62,209,2025-10-01 22:00:00
France,Occitanie,Toulouse,17.77,218,2025-10-01 23:00:00
France,Provence-Alpes-Côte d'Azur,Nice,17.18,316,2025-09-27 00:00:00
France,Provence-Alpes-Côte d'Azur,Nice,14.79,228,2025-10-01 01:00:00
France,Provence-Alpes-Côte d'Azur,Nice,14.8,234,2025-10-01 02:00:00
France,Provence-Alpes-Côte d'Azur,Nice,22.44,176,2025-10-01 03:00:00
France,Provence-Alpes-Côte d'Azur,Nice,11.26,214,2025-10-01 04:00:00
France,Provence-Alpes-Côte d'Azur,Nice,20.59,256,2025-10-01 05:00:00
France,Provence-Alpes-Côte d'Azur,Nice,12.86,141,2025-10-01 06:00:00
France,Provence-Alpes-Côte d'Azur,Nice,17.56,174,2025-10-01 07:00:00
France,Provence-Alpes-Côte d'Azur,Nice,22.99,92,2025-10-01 08:00:00
France,Provence-Alpes-Côte d'Azur,Nice,24.31,105,2025-10-01 09:00:00
France,Provence-Alpes-Côte d'Azur,Nice,17.81,211,2025-10-01 10:00:00
France,Provence-Alpes-Côte d'Azur,Nice,19.37,342,2025-10-01 11:00:00
France,Provence-Alpes-Côte d'Azur,Nice,17.28,319,2025-10-01 12:00:00
France,Provence-Alpes-Côte d'Azur,Nice,20.17,136,2025-10-01 13:00:00
France,Provence-Alpes-Côte d'Azur,Nice,16.19,196,2025-10-01 14:00:00
France,Provence-Alpes-Côte d'Azur,Nice,19.48,37,2025-10-01 15:00:00
France,Provence-Alpes-Côte d'Azur,Nice,19.72,89,2025-10-01 16:00:00
France,Provence-Alpes-Côte d'Azur,Nice,10.45,356,2025-10-01 17:00:00
France,Provence-Alpes-Côte d'Azur,Nice,21.48,299,2025-10-01 18:00:00
France,Provence-Alpes-Côte d'Azur,Nice,15.18,52,2025-10-01 19:00:00
France,Provence-Alpes-Côte d'Azur,Nice,20.17,190,2025-10-01 20:00:00
France,Provence-Alpes-Côte d'Azur,Nice,22.18,195,2025-10-01 21:00:00
France,Provence-Alpes-Côte d'Azur,Nice,15.85,223,2025-10-01 22:00:00
France,Provence-Alpes-Côte d'Azur,Nice,17.3,274,2025-10-01 23:00:00
France,Pays de la Loire,Nantes,11.52,82,2025-09-27 00:00:00
France,Pays de la Loire,Nantes,12.36,276,2025-10-01 01:00:00
France,Pays de la Loire,Nantes,17.31,196,2025-10-01 02:00:00
France,Pays de la Loire,Nantes,15.03,54,2025-10-01 03:00:00
France,Pays de la Loire,Nantes,11.05,65,2025-10-01 04:00:00
France,Pays de la Loire,Nantes,18.58,293,2025-10-01 05:00:00
France,Pays de la Loire,Nantes,10.98,239,2025-10-01 06:00:00
France,Pays de la Loire,Nantes,19.77,63,2025-10-01 07:00:00
France,Pays de la Loire,Nantes,13.58,162,2025-10-01 08:00:00
France,Pays de la Loire,Nantes,11.46,217,2025-10-01 09:00:00
France,Pays de la Loire,Nantes,15.12,45,2025-10-01 10:00:00
France,Pays de la Loire,Nantes,20.07,110,2025-10-01 11:00:00
France,Pays de la Loire,Nantes,20.62,338,2025-10-01 12:00:00
France,Pays de la Loire,Nantes,10.85,65,2025-10-01 13:00:00
